1,749,666,27,15
2,118,560,22,18
3,194,731,16,29
4,295,407,21,29
5,717,30,29,24
6,969,722,11,25
7,117,596,20,22
8,557,190,19,17
9,445,84,22,24
10,527,900,28,12
11,48,71,20,17
12,644,603,29,16
13,786,478,19,10
14,40,483,14,15
15,683,475,22,13
16,173,683,10,10
17,862,778,12,29
18,169,513,20,13
19,151,719,28,13
20,49,342,15,29
21,678,900,13,29
22,97,522,6,16
23,888,500,11,21
24,781,576,12,22
25,122,367,28,18
26,625,149,22,27
27,668,803,15,11
28,822,317,26,15
29,685,945,19,11
30,786,296,13,18
31,848,839,15,16
32,663,448,28,24
33,941,785,13,24
34,579,902,26,11
35,343,206,19,11
36,301,174,27,12
37,539,52,16,20
38,740,676,17,26
39,771,191,11,18
40,80,930,22,29
41,402,979,16,18
42,978,896,14,27
43,299,185,20,24
44,885,32,20,25
45,28,376,13,26
46,103,323,22,22
47,495,160,18,14
48,318,567,13,20
49,206,353,11,13
50,763,100,21,13
51,852,973,18,12
52,50,249,20,26
53,329,579,11,11
54,546,884,12,16
55,425,681,18,18
56,152,610,17,16
57,802,735,29,21
58,113,567,22,18
59,361,386,27,25
60,921,9,25,19
61,68,903,23,21
62,368,599,16,25
63,553,182,11,16
64,391,822,26,28
65,589,207,12,20
66,188,348,23,22
67,499,43,16,21
68,849,175,14,10
69,650,527,20,10
70,108,72,11,25
71,685,124,12,29
72,364,370,25,10
73,578,357,18,24
74,514,961,25,28
75,376,981,22,11
76,96,496,16,17
77,682,6,14,13
78,191,804,17,19
79,202,556,28,23
80,390,525,11,20
81,836,610,22,20
82,566,79,22,28
83,441,68,16,12
84,270,609,12,10
85,520,392,20,16
86,104,416,23,26
87,104,763,22,16
88,669,877,11,24
89,277,658,27,12
90,909,134,25,14
91,414,925,29,28
92,304,618,15,23
93,838,975,23,14
94,761,377,19,26
95,923,178,11,10
96,901,945,22,20
97,179,325,18,24
98,877,792,27,17
99,870,233,24,24
100,945,390,13,14
101,697,868,10,19
102,823,154,19,27
